Node	Name	Max level	Input
1	IL1B_e	1	1
2	IFNG_e	1	1
3	IL2_e	1	1
4	IL4_e	1	1
5	IL6_e	1	1
6	IL10_e	1	1
7	IL12_e	1	1
8	IL15_e	1	1
9	IL21_e	1	1
10	IL23_e	1	1
11	IL27_e	1	1
12	TGFB_e	1	1
13	IL36_e	1	1
14	IL33_e	1	1
15	IL18_e	1	1
16	IL25_e	1	1
17	IFNB_e	1	1
18	IFNA_e	1	1
19	IL1A_e	1	1
20	IL29_e	1	1
21	APC	1	1
22	TCR	1	0
23	CD28	1	0
24	IFNGR	1	0
25	IL36R	1	0
26	IL1R	1	0
27	IL2R	2	0
28	IL4R	1	0
29	IL6R	1	0
30	IL10R	1	0
31	IL12R	1	0
32	IL15R	1	0
33	IL21R	1	0
34	IL23R	1	0
35	IL27R	1	0
36	IFNAR	1	0
37	IFNAR1	1	0
38	IFNAR2	1	0
39	TGFBR	1	0
40	IFNGR1	1	0
41	IL1RAP	1	0
42	IFNGR2	1	0
43	GP130	1	0
44	IL6RA	1	0
45	IL12RB1	1	0
46	CGC	1	0
47	IL12RB2	1	0
48	IL10RB	1	0
49	IL10RA	1	0
50	IL4RA	1	0
51	IL15RA	1	0
52	IL2RB	1	0
53	IL2RA	1	0
54	IL27RA	1	0
55	IL1R1	1	0
56	IL29R	1	0
57	IL17RB	1	0
58	IL18RAP	1	0
59	IL18RA	1	0
60	IL18R	1	0
61	ST2	1	0
62	IL25R	1	0
63	IL33R	1	0
64	IL1RL2	1	0
65	IL28RA	1	0
66	TBET	1	0
67	GATA3	1	0
68	RORGT	1	0
69	FOXP3	1	0
70	BCL6	1	0
71	IFNG	1	0
72	IL4	1	0
73	IL2	1	0
74	IL17	1	0
75	IL22	1	0
76	IL9	1	0
77	IL10	1	0
78	IL3	1	0
79	IL21	1	0
80	IL5	1	0
81	IL13	1	0
82	IL6	1	0
83	STAT1	1	0
84	STAT3	1	0
85	STAT4	1	0
86	STAT5	2	0
87	STAT6	1	0
88	cMAF	1	0
89	PU1	1	0
90	TGFB	1	0
91	SMAD3	1	0
92	IRF1	1	0
93	RUNX3	1	0
94	proliferation	1	0
95	NFKB	1	0
96	NFAT	1	0
97	IKB	1	0
98	IL31	1	0
99	IL25	1	0
100	IL35	1	0
101	IL24	1	0
102	miR-34c-5p	1	0
103	miR-155-5p	1	0
104	SP1	1	0
105	FOXO1	1	0
106	FOXO3	1	0
107	TP53	1	0
108	KAT2B	1	0
109	EP300	1	0
110	CDKN1A	1	0
111	CREB1	1	0
112	FOS	1	0
113	JUN	1	0
114	MYC	1	0
115	CREBBP	1	0
116	MDM2	1	0
117	SIRT1	1	0
118	BLIMP1	1	0
