Target	Name	Value	Formulae
22	TCR	1	APC
23	CD28	1	APC
24	IFNGR	1	IFNGR1 & IFNGR2 & (IFNG | IFNG_e) & !miR-155-5p
25	IL36R	1	IL36_e & IL1RL2 & IL1RAP
26	IL1R	1	(IL1B_e | IL1A_e) & IL1RAP & IL1R1
27	IL2R	2	CGC & IL2RB & IL2RA & (IL2 | IL2_e)
27	IL2R	1	CGC & IL2RB & !IL2RA & (IL2 | IL2_e)
28	IL4R	1	CGC & IL4RA & (IL4 | IL4_e)
29	IL6R	1	GP130 & IL6RA & (IL6_e | IL6) & !miR-34c-5p
30	IL10R	1	IL10RA & IL10RB & (IL10 | IL10_e)
31	IL12R	1	IL12RB1 & IL12RB2 & IL12_e
32	IL15R	1	CGC & IL15RA & IL2RB & IL15_e
33	IL21R	1	GP130 & CGC & (IL21 | IL21_e)
34	IL23R	1	GP130 & IL12RB1 & IL23_e & STAT3 & RORGT
35	IL27R	1	GP130 & IL27RA & IL27_e
36	IFNAR	1	(IFNA_e | IFNB_e) & IFNAR1 & IFNAR2
37	IFNAR1	1	TRUE
38	IFNAR2	1	TRUE
39	TGFBR	1	(TGFB | TGFB_e) & !miR-34c-5p
40	IFNGR1	1	TRUE
41	IL1RAP	1	TRUE
42	IFNGR2	1	TRUE
43	GP130	1	TRUE
44	IL6RA	1	TRUE
45	IL12RB1	1	TRUE
46	CGC	1	TRUE
47	IL12RB2	1	TRUE
48	IL10RB	1	TRUE
49	IL10RA	1	TRUE
50	IL4RA	1	TRUE
51	IL15RA	1	TRUE
52	IL2RB	1	TRUE
53	IL2RA	1	(SMAD3 | FOXP3 | STAT5 | NFKB) & NFAT & !miR-34c-5p
54	IL27RA	1	TRUE
55	IL1R1	1	STAT3
56	IL29R	1	IL29_e & IL28RA & IL10RB
57	IL17RB	1	TRUE
58	IL18RAP	1	TRUE
59	IL18RA	1	TRUE
60	IL18R	1	IL18_e & IL18RAP & IL18RA & STAT4
61	ST2	1	GATA3
62	IL25R	1	IL17RB & (IL25_e | IL25)
63	IL33R	1	IL33_e & ST2 & IL1RAP
64	IL1RL2	1	TRUE
65	IL28RA	1	TRUE
66	TBET	1	(TBET | STAT1 | IL36R) & !BCL6 & !RORGT
67	GATA3	1	!GATA3 & !TBET & (STAT6 | IL25R) & !BCL6 & !PU1 & !IL29R
67	GATA3	1	GATA3 & !BCL6 & !PU1 & !IL29R
68	RORGT	1	TGFBR & STAT3 & !BCL6 & !FOXP3
69	FOXP3	1	STAT5 & NFAT & FOXP3 & !STAT6 & !miR-34c-5p
69	FOXP3	1	STAT5 & NFAT & !FOXP3 & SMAD3 & !STAT1 & !(STAT3 & RORGT) & !STAT6 & !miR-34c-5p
70	BCL6	1	(STAT1 | STAT3 | STAT4) & !TBET & !STAT5
70	BCL6	1	STAT3 & STAT4 & !TBET
71	IFNG	1	proliferation & !FOXP3 & NFAT & ((TBET & RUNX3) | STAT4 | IL18R)
72	IL4	1	NFAT & proliferation & GATA3 & (STAT5 | cMAF) & !FOXP3 & !((TBET & RUNX3) | IRF1)
73	IL2	1	(NFAT | NFKB) & !TBET & !FOXP3 & !(STAT5 & STAT6)
73	IL2	1	NFAT & TBET & !FOXP3 & !(STAT5 & STAT6)
74	IL17	1	NFAT & proliferation & RORGT & NFKB & STAT3 & !(FOXP3 & STAT1 & STAT5 & STAT6)
75	IL22	1	proliferation & NFAT & (STAT3 | STAT1) & !cMAF
76	IL9	1	(NFKB | NFAT) & proliferation & (SMAD3 | PU1 | IL33R) & STAT6
77	IL10	1	(GATA3 | STAT3 | STAT4 | cMAF | IRF1) & NFAT & SP1 & CREB1 & JUN & FOS & proliferation & !IL18R & !IL33R
78	IL3	1	GATA3 & proliferation & NFAT
79	IL21	1	NFAT & proliferation & (STAT3 | cMAF | STAT4)
80	IL5	1	proliferation & NFAT & (GATA3 | cMAF | IL33R) & !FOXP3
81	IL13	1	proliferation & NFAT & (GATA3 | cMAF | IL33R) & !FOXP3
82	IL6	1	proliferation & NFAT & STAT3
83	STAT1	1	(IFNAR | IFNGR | IL27R) & !miR-34c-5p
84	STAT3	1	(IL6R | IL23R | IL1R | IL21R | IL27R) & !miR-34c-5p
85	STAT4	1	IL12R & !GATA3
86	STAT5	2	IL2R:2
86	STAT5	1	!IL2R:2 & (IL2R:1 | IL15R)
87	STAT6	1	IL4R
88	cMAF	1	TGFBR & STAT3 & !miR-155-5p
89	PU1	1	TGFBR
90	TGFB	1	NFAT & proliferation & FOXP3
91	SMAD3	1	TGFBR
92	IRF1	1	STAT1 & !miR-34c-5p
93	RUNX3	1	TBET & !miR-34c-5p
94	proliferation	1	STAT5:2 | proliferation
95	NFKB	1	!IKB & !FOXP3 & CREBBP & EP300
96	NFAT	1	TCR & CD28 & EP300
97	IKB	1	!TCR & !miR-34c-5p
