Target	Name	Value	Formulae
2	TCR	1	APC-Antigen & CD3 & CD28 & !IL2:2
6	LCK	2	TCR & CD45RO
6	LCK	1	TCR & CD45RA
7	ZAP70	2	LCK:2
7	ZAP70	1	LCK:1
9	PI3K	1	LCK:2 | LCK:1
10	PIP3	1	PI3K
11	AKT1	1	PIP3
12	CDKN1A-p21	1	!AKT1
13	RAC1	1	ZAP70 & !miR-155-5p
14	MAPK14-p38	1	RAC1
15	SRF	1	MAPK14-p38
16	JUN	1	MAPK8-JNK & KAT2B & !miR-155-5p
17	FOS	1	MAPK1-ERK & !miR-34c-5p & !miR-155-5p
18	FOXO1	1	TP53 & !AKT1 & !miR-155-5p
19	IP3	1	ZAP70
20	DAG	1	ZAP70
21	Calcineurin	1	IP3
22	NFATC1	1	Calcineurin
23	BCMcomplex	1	!miR-155-5p
24	NFKB1	2	TNFR & !NFKBIE-IkB
24	NFKB1	1	TNFR
25	NFKBIE-IkB	1	!IKBKG
26	IKBKG	1	DAG & BCMcomplex & !miR-34c-5p
27	MAPK8-JNK	1	MAP4K1-MEKKK
28	MAPK1-ERK	1	RAS
29	GSK3B	1	!AKT1
30	CTNNB1	1	!GSK3B
31	CCNI	1	!GSK3B
32	RAS	1	MAPK1-ERK
33	CREB	1	RAS & MAPK1-ERK
34	IL2	2	NFATC1 & NFKB1 & STAT5
34	IL2	1	NFATC1 & NFKB1
35	IL6	1	NFATC1 & STAT3
36	TGFB	1	FOXP3
38	IL21	1	RORC | MAF
39	IL17	1	NFATC1 & RORC & !FOXP3 & NFKB1 & STAT3 & !(STAT5 | STAT1 | STAT6)
40	TNF	1	TBX21
42	IL4	1	IL2 & NFATC1 & (STAT5 | MAF | GATA3) & !FOXP3
44	IL10	1	(GATA3 | STAT3 | FOXP3) & NFATC1
45	IFNG	1	!FOXP3 & !STAT3 & NFATC1 & (TBX21 | STAT4)
46	FOXO3	1	(FOXO3 | TP53) & !miR-155-5p & !SIRT1
47	TP53	2	(MYC | TP53) & !MDM2 & !SIRT1
47	TP53	1	!MDM2 & !SIRT1	
48	MDM2	2	(NFATC1 | SP1 | TP53) & !miR-155-5p
48	MDM2	1	!miR-155-5p
49	SP1	1	NFKB1
50	MYC	1	(STAT4 | STAT3 | BCL6) & !FOS & !miR-34c-5p & !PRDM1-BLIMP1
54	STAT1	1	IFNGR & !miR-34c-5p
55	STAT4	1	IL12R & !GATA3
56	STAT5	2	IL2R:2 | IL4R:2
56	STAT5	1	!IL2R:2 & !IL4R:2 & (IL4R:1 | IL2R:1)
57	STAT6	1	IL4R
58	STAT3	1	(TGFBR | IL6R | IL23R | IL1R) & !miR-34c-5p
59	IL2R	2	IL2 & CGC & STAT5:2
59	IL2R	1	IL2 & CGC
60	IL6R	1	IL6
61	TGFBR	1	TGFB
63	IL21R	1	MAF | RORC
64	TNFR	1	TNF
65	IL23R	1	RORC & STAT3
18	IL4R	2	CGC & IL4 & STAT5
18	IL4R	1	CGC & IL4
66	IL4R	1	IL4
67	IL10R	1	IL10
68	IFNGR	1	IFNG & !miR-155-5p
69	IL22	1	RORC & AHR
70	IL9	1	SPI1-PU1
71	TBX21	2	ZAP70:2
71	TBX21	1	(TBX21 | STAT1) & !GATA3
72	GATA3	1	(GATA3 | STAT6 | STAT5) & NFKB1 & !miR-34c-5p
73	RORC	1	RORC & (TGFBR | STAT3)
73	RORC	1	!RORC & TGFBR & STAT3
74	FOXP3	1	STAT5 & NFATC1 & FOXP3
74	FOXP3	1	STAT5 & NFATC1 & !FOXP3 & !STAT1 & !(STAT3 & RORC)
75	BCL6	1	(STAT3 & STAT4) | SPI1-PU1 & !(TBX21 & miR-34c-5p)
76	SPI1-PU1	1	TGFBR
77	MAF	1	TGFBR & STAT3 & !miR-155-5p
78	AHR	1	MAF & !miR-34c-5p
79	IL12R	1	IL12
81	IL1R	1	STAT3
82	PRDM1-BLIMP1	1	(JUN & FOS & CREBBP & !BCL6) | STAT3
83	SIRT1	1	NFKB1 & !miR-155-5p
84	miR-34c-5p	1	(TP53 | FOXO3) & !STAT3
85	miR-155-5p	1	(NFKB1 & NFATC1) & (TBX21 | FOXP3 | RORC) & !(GATA3 & SPI1-PU1)
91	MAP4K1-MEKKK	1	RAC1
