Node	Name	Max level	Input
1	APC	1	1
2	IFNB_e	1	1
3	IFNG_e	1	1
4	IL2_e	1	1
5	IL4_e	1	1
6	IL6_e	1	1
7	IL10_e	1	1
8	IL12_e	1	1
9	IL15_e	1	1
10	IL21_e	1	1
11	IL23_e	1	1
12	IL27_e	1	1
13	TGFB_e	1	1
14	CD28	1	0
15	IFNBR	1	0
16	IFNGR	1	0
17	IL2R	2	0
18	IL4R	2	0
19	IL6R	1	0
20	IL10R	1	0
21	IL12R	1	0
22	IL15R	1	0
23	IL21R	1	0
24	IL23R	1	0
25	IL27R	1	0
26	TCR	1	0
27	TGFBR	1	0
28	IFNGR1	1	0
29	IFNGR2	1	0
30	GP130	1	0
31	IL6RA	1	0
32	IL12RB1	1	0
33	CGC	1	0
34	IL12RB2	1	0
35	IL10RB	1	0
36	IL10RA	1	0
37	IL4RA	2	0
38	IL15RA	1	0
39	IL2RB	1	0
40	IL2RA	1	0
41	IL27RA	1	0
42	IFNG	1	0
43	IL2	1	0
44	IL4	1	0
45	IL10	1	0
46	IL21	1	0
47	IL23	1	0
48	TGFB	1	0
49	TBX21	1	0
50	GATA3	1	0
51	FOXP3	1	0
52	NFAT	1	0
53	STAT1	1	0
54	STAT3	1	0
55	STAT4	1	0
56	STAT5	2	0
57	STAT6	1	0
58	SMAD3	1	0
59	IRF1	1	0
60	RUNX3	1	0
61	proliferation	1	0
62	NFKB	1	0
63	IKB	1	0
64	RORC	1	0
65	IL17	1	0
66	miR-34c-5p	1	0
67	miR-155-5p	1	0
68	SP1	1	0
69	FOXO1	1	0
70	FOXO3	1	0
71	TP53	1	0
72	KAT2B	1	0
73	EP300	1	0
74	CDKN1A	1	0
75	CREB	1	0
76	FOS	1	0
77	JUN	1	0
78	MYC	1	0
79	CREBBP	1	0
80	MDM2	1	0
81	BLIMP1	1	0
82	SIRT1	1	0
