Target	Name	Value	Formulae
14	CD28	1	APC & !miR-34c-5p
15	IFNBR	1	IFNB_e
16	IFNGR	1	IFNGR1 & IFNGR2 & (IFNG | IFNG_e) & !miR-155-5p
17	IL2R	2	CGC & IL2RB & IL2RA & (IL2 | IL2_e)
17	IL2R	1	CGC & IL2RB & !IL2RA & (IL2 | IL2_e)
18	IL4R	2	CGC & IL4RA:2 & (IL4 | IL4_e)
18	IL4R	1	CGC & IL4RA:1 & (IL4 | IL4_e)
19	IL6R	1	GP130 & IL6RA & IL6_e & !miR-34c-5p
20	IL10R	1	IL10RA & IL10RB & (IL10 | IL10_e)
21	IL12R	1	IL12RB1 & IL12RB2 & IL12_e & !miR-34c-5p
22	IL15R	1	CGC & IL15RA & IL2RB & IL15_e
23	IL21R	1	GP130 & CGC & (IL21 | IL21_e)
24	IL23R	1	GP130 & IL12RB1 & (IL23 | IL23_e) & STAT3 & RORC & !miR-155-5p
25	IL27R	1	GP130 & IL27RA & IL27_e
26	TCR	1	APC
27	TGFBR	1	TGFB | TGFB_e & !miR-34c-5p
30	GP130	1	!miR-155-5p
35	IL10RB	1	!miR-34c-5p
37	IL4RA	2	STAT5:2
37	IL4RA	1	!STAT5:2
39	IL2RB	1	!miR-34c-5p
40	IL2RA	1	(SMAD3 | FOXP3 | STAT5 | NFKB) & NFAT & !miR-34c-5p
42	IFNG	1	proliferation & !FOXP3 & !STAT3 & NFAT & ((TBX21 & RUNX3) | STAT4)
43	IL2	1	((NFAT & !FOXP3) | NFKB) & !(STAT5 & STAT6) & !(NFKB & TBX21)
44	IL4	1	NFAT & proliferation & GATA3 & !FOXP3 & !((TBX21 & RUNX3) | IRF1)
45	IL10	1	(GATA3 | STAT3) & NFAT & proliferation
46	IL21	1	NFAT & proliferation & STAT3
47	IL23	1	NFAT & proliferation & STAT3
48	TGFB	1	NFAT & proliferation & FOXP3
49	TBX21	1	(TBX21 | STAT1) & !GATA3
50	GATA3	1	(GATA3 | STAT6) & !TBX21 & !miR-34c-5p
51	FOXP3	1	STAT5 & NFAT & FOXP3
51	FOXP3	1	STAT5 & NFAT & !FOXP3 & SMAD3 & !STAT1 & !(STAT3 & RORC)
52	NFAT	1	CD28 & TCR
53	STAT1	1	(IFNBR | IFNGR | IL27R) & !miR-34c-5p
54	STAT3	1	(IL6R | IL10R | IL21R | IL23R | IL27R) & !miR-34c-5p
55	STAT4	1	IL12R & !GATA3
56	STAT5	2	IL2R:2 | IL4R:2
56	STAT5	1	!IL2R:2 & !IL4R:2 & (IL4R:1 | IL2R:1 | IL15R)
57	STAT6	1	IL4R
58	SMAD3	1	TGFBR & !miR-155-5p & !miR-34c-5p
59	IRF1	1	STAT1
60	RUNX3	1	TBX21 & !miR-34c-5p
61	proliferation	1	STAT5:2 | proliferation
62	NFKB	1	!IKB & !FOXP3 & CREBBP & EP300
63	IKB	1	!TCR
64	RORC	1	RORC & (TGFBR | STAT3)
64	RORC	1	!RORC & TGFBR & STAT3
65	IL17	1	NFAT & proliferation & RORC & !FOXP3 & NFKB & STAT3 & !(STAT5 | STAT1 | STAT6)
66	miR-34c-5p	1	(TP53 | FOXO3) & SP1
67	miR-155-5p	1	NFAT | NFKB | STAT3 | FOXP3 | STAT1
68	SP1	1	NFKB
69	FOXO1	1	TP53 & EP300
70	FOXO3	1	(FOXO3 | TP53) & !miR-34c-5p & !SIRT1
71	TP53	1	(MYC | TP53) & !MDM2 & !SIRT1
74	CDKN1A	1	KAT2B & EP300 & SP1
75	CREB	1	TCR & CREBBP & !miR-34c-5p
76	FOS	1	TCR & !miR-34c-5p
77	JUN	1	TCR & KAT2B & !miR-155-5p
78	MYC	1	(STAT4 | GATA3) & !FOS & !miR-34c-5p & !BLIMP1 & !RUNX3
80	MDM2	1	(NFAT | SP1 | TP53) & !miR-155-5p
81	BLIMP1	1	(JUN & FOS & CREBBP) | STAT3
82	SIRT1	1	NFKB & !miR-155-5p
