Node	Name	Max level	Input
1	APC-Antigen	1	1
2	CD3	1	1
3	CD45RA	1	1
4	CGC	1	1
5	CREBBP	1	1
6	TCR	1	0
7	CD28	1	0
8	LCK	1	0
9	ZAP70	2	0
10	PI3K	1	0
11	PIP3	1	0
12	AKT1-PKB	1	0
13	CDKN1A-p21	1	0
14	RAC1	1	0
15	MAPK14-p38	1	0
16	SRF	1	0
17	JUN	1	0
18	FOS	1	0
19	FOXO1	1	0
20	IP3	1	0
21	DAG	1	0
22	Calcineurin	1	0
23	NFAT	1	0
24	BCMcomplex	1	0
25	NFKB	2	0
26	NFKBIE-IkB	1	0
27	IKBKG	1	0
28	MAPK8-JNK	1	0
29	MAPK1-ERK	1	0
30	GSK3B	1	0
31	CTNNB1	1	0
32	CCNI	1	0
33	RAS	1	0
34	CREB	1	0
35	IL2	2	0
36	IL6	1	0
37	TGFB	1	0
38	IL12	1	0
39	IL21	1	0
40	IL17	1	0
41	TNF	1	0
42	IL23	1	0
43	IL4	1	0
44	IL10	1	0
45	IFNG	1	0
46	FOXO3	1	0
47	TP53	2	0
48	MDM2	2	0
49	SP1	1	0
50	MYC	1	0
51	STAT1	1	0
52	STAT4	1	0
53	STAT5	2	0
54	STAT6	1	0
55	STAT3	1	0
56	IL2R	1	0
57	IL6R	1	0
58	TGFBR	1	0
59	IL21R	1	0
60	TNFR	1	0
61	IL23R	1	0
62	IL4R	2	0
63	IL10R	1	0
64	IFNGR	1	0
65	IL22	1	0
66	IL9	1	0
67	TBX21	2	0
68	GATA3	2	0
69	RORC	1	0
70	FOXP3	1	0
71	BCL6	1	0
72	SPI1-PU1	1	0
73	MAF	1	0
74	AHR	1	0
75	IL12R	1	0
76	IL1R	1	0
77	PRDM1-BLIMP1	1	0
78	SIRT1	1	0
79	miR-34c-5p	2	0
80	miR-155-5p	1	0
81	MAP4K1-MEKKK	1	0
