Target	Name	Value	Formulae
6	TCR	1	APC-Antigen & CD3 & CD28 & !IL2:2
7	CD28	1	!IL2:2 & !miR-34c-5p
8	LCK	1	TCR & CD45RA
9	ZAP70	2	LCK & !miR-34c-5p
9	ZAP70	1	LCK
10	PI3K	1	LCK & CD28
11	PIP3	1	PI3K
12	AKT1-PKB	1	PIP3
13	CDKN1A-p21	1	!AKT1-PKB
14	RAC1	1	ZAP70 & !miR-155-5p
15	MAPK14-p38	1	RAC1
16	SRF	1	MAPK14-p38
17	JUN	1	MAPK8-JNK & !miR-155-5p
18	FOS	1	MAPK1-ERK & !miR-34c-5p & !miR-155-5p
19	FOXO1	1	TP53 & !AKT1-PKB & !miR-155-5p
20	IP3	1	ZAP70
21	DAG	1	ZAP70
22	Calcineurin	1	IP3
23	NFAT	1	Calcineurin
24	BCMcomplex	1	!miR-155-5p
25	NFKB	2	TNFR & !NFKBIE-IkB
25	NFKB	1	!NFKBIE-IkB
26	NFKBIE-IkB	1	!IKBKG
27	IKBKG	1	DAG & BCMcomplex & !miR-34c-5p
28	MAPK8-JNK	1	MAP4K1-MEKKK
29	MAPK1-ERK	1	RAS & !miR-34c-5p
30	GSK3B	1	!AKT1-PKB
31	CTNNB1	1	!GSK3B
32	CCNI	1	!GSK3B
33	RAS	1	ZAP70
34	CREB	1	RAS & MAPK1-ERK
35	IL2	2	(NFAT & NFKB) | (JUN & FOS) & STAT5 & !(STAT5 & STAT6) & !(NFKB & TBX21)
35	IL2	1	(NFAT & NFKB) | (JUN & FOS) | NFAT | NFKB
36	IL6	1	NFAT & STAT3
37	TGFB	1	FOXP3 & NFAT
38	IL12	1	NFKB | TBX21
39	IL21	1	(RORC | MAF) & !TGFB
40	IL17	1	NFAT & RORC & !FOXP3 & NFKB & STAT3 & !(STAT5 | STAT1 | STAT6)
41	TNF	1	TBX21 | JUN
42	IL23	1	(JUN & FOS) & MAPK14-p38 & NFKB & STAT3
43	IL4	1	NFAT & (STAT5 | MAF | GATA3) & !TBX21
44	IL10	1	SP1 & MAF & (GATA3 | STAT3 | TGFB | STAT1)
45	IFNG	1	!FOXP3 & !STAT3 & NFAT & (TBX21 | STAT4)
46	FOXO3	1	(FOXO3 | TP53) & !miR-155-5p & !SIRT1
47	TP53	2	(MYC | TP53) & !MDM2 & !SIRT1
47	TP53	1	!MDM2 & !SIRT1
48	MDM2	2	(NFAT | SP1) & AKT1-PKB & TP53 & !miR-155-5p
48	MDM2	1	NFAT & AKT1-PKB
49	SP1	1	(STAT3 | CDKN1A-p21) & !TP53 & !NFKB
50	MYC	1	(STAT4 | STAT3) & !miR-34c-5p & !PRDM1-BLIMP1
51	STAT1	1	IFNGR & !miR-34c-5p
52	STAT4	1	IL12R & !GATA3
53	STAT5	2	IL2R:2 | IL4R:2
53	STAT5	1	!IL2R:2 & !IL4R:2 & (IL4R:1 | IL2R:1)
54	STAT6	1	IL4R
55	STAT3	1	(TGFBR | IL6R | IL23R | IL1R) & !SIRT1 & !miR-155-5p & !miR-34c-5p
56	IL2R	1	IL2 & CGC & STAT5:2
56	IL2R	1	IL2 & CGC
57	IL6R	1	IL6 & !miR-34c-5p
58	TGFBR	1	TGFB & !miR-34c-5p
59	IL21R	1	CGC & (MAF | STAT3) & !(MAF & TGFB)
60	TNFR	1	TNF
61	IL23R	1	(RORC & STAT3) | IL23
62	IL4R	2	CGC & IL4 & STAT5
62	IL4R	1	IL4 | (CGC & IL4)
63	IL10R	1	IL10 & !miR-34c-5p
64	IFNGR	1	IFNG & !miR-155-5p
65	IL22	1	RORC & TBX21 & AHR & !MAF
66	IL9	1	SPI1-PU1
67	TBX21	2	(TBX21 & STAT1) | (TBX21 & STAT4)
67	TBX21	1	(STAT1 | STAT4)
68	GATA3	2	(GATA3 | STAT6 | STAT5) & NFKB & !miR-34c-5p
68	GATA3	1	(GATA3 | STAT6 | STAT5) & NFKB
69	RORC	1	TGFBR & STAT3
70	FOXP3	1	STAT5 & NFAT & FOXP3 & !miR-34c-5p
70	FOXP3	1	STAT5 & NFAT & !FOXP3 & !STAT1 & !(STAT3 & RORC) & !miR-34c-5p
71	BCL6	1	(STAT3 & STAT4) | SPI1-PU1 & !(TBX21 & miR-34c-5p)
72	SPI1-PU1	1	GATA3 & TGFBR & !miR-155-5p
73	MAF	1	STAT5 | STAT3 & !(TGFB & miR-155-5p)
74	AHR	1	SP1 & NFKB | (MYC & GATA3) | (FOS & JUN) & !miR-34c-5p
75	IL12R	1	IL12
76	IL1R	1	STAT3
77	PRDM1-BLIMP1	1	(JUN & FOS & CREBBP & !BCL6) | (STAT3 & !BCL6)
78	SIRT1	1	FOXO3 | (FOXO3 & CREB) & !TP53 & !miR-155-5p
79	miR-34c-5p	2	GATA3 & MYC & (TP53 | FOXO3 | SP1)
79	miR-34c-5p	1	GATA3 & MYC
80	miR-155-5p	1	NFKB & NFAT & (TBX21 | GATA3 | RORC | FOXP3)
80	miR-155-5p	1	NFKB & NFAT
81	MAP4K1-MEKKK	1	ZAP70
