Node	Name	Max level	Input
1	APC-Antigen	1	1
2	TCR	1	1
3	CD45RA	1	1
4	CD45RO	1	1
5	CD28	1	1
6	LCK	2	0
7	ZAP70	2	0
8	CD3	1	1
9	PI3K	1	0
10	PIP3	1	0	
11	AKT1	1	0
12	CDKN1A-p21	1	0
13	RAC1	1	0
14	MAPK14-p38	1	0
15	SRF	1	0
16	JUN	1	0
17	FOS	1	0
18	FOXO1	1	0
19	IP3	1	0
20	DAG	1	0
21	Calcineurin	1	0
22	NFATC1	1	0
23	BCMcomplex	1	1
24	NFKB1	2	0
25	NFKBIE-IkB	1	0
26	IKBKG	1	0
27	MAPK8-JNK	1	0
28	MAPK1-ERK	1	0
29	GSK3B	1	0
30	CTNNB1	1	0
31	CCNI	1	0
32	RAS	1	0
33	CREB	1	0
34	IL2	2	0
35	IL6	1	0
36	TGFB	1	0
37	IL12	1	1
38	IL21	1	0
39	IL17	1	0
40	TNF	1	0
41	IL23	1	1
42	IL4	1	0
43	EP300	1	0
44	IL10	1	0
45	IFNG	1	0
46	FOXO3	1	0
47	TP53	2	0	
48	MDM2	2	0
49	SP1	1	0
50	MYC	1	0
51	FOXP1	1	1
52	CREBBP	1	1
53	KAT2B	1	1
54	STAT1	1	0
55	STAT4	1	0
56	STAT5	2	0
57	STAT6	1	0
58	STAT3	1	0
59	IL2R	2	0
60	IL6R	1	0
61	TGFBR	1	0
62	CGC	1	1
63	IL21R	1	0
64	TNFR	1	0
65	IL23R	1	0
66	IL4R	2	0
67	IL10R	1	0
68	IFNGR	1	0
69	IL22	1	0
70	IL9	1	0
71	TBX21	2	0
72	GATA3	1	0
73	RORC	1	0
74	FOXP3	1	0
75	BCL6	1	0
76	SPI1-PU1	1	0
77	MAF	1	0
78	AHR	1	0
79	IL12R	1	0
80	IL1	1	1
81	IL1R	1	0
82	PRDM1-BLIMP1	1	0
83	SIRT1	1	0
84	miR-34c-5p	1	0
85	miR-155-5p	1	0
86	miR-181a-5p	1	1
87	miR-21-5p	1	1
88	miR-146b-5p	1	1
89	let-7a-5p	1	1
90	miR-101-3p	1	1
91	MAP4K1-MEKKK	1	0
