"variant","backbone","mir34c_rule","miR-34c-5p","TBX21","GATA3","RORC","FOXP3","BCL6","AHR","SPI1-PU1"
"6_3_17",1,"2: TP53 & FOXO3 / 1: (GATA3 & MYC & TP53)",0.1236,0.5282,0.3482,0.2529,0.2654,0.1527,0.064,0.1638
"10_3_17",1,"1: GATA3 & MYC & TP53",0.0043,0.533,0.4083,0.3101,0.2466,0.1637,0.0964,0.1634
"1_3_17",1,"1: (GATA3 & MYC & TP53) & !STAT3",0,0.5072,0.3647,0.3445,0.2411,0.1552,0.1039,0.1778
"TP53_FOXO3",2,"1: (TP53 | FOXO3) & !STAT3",0.2891,0.6273,0.3525,0.3789,0.3179,0.2484,0.1497,0.3919
"GATA3_FOS_MYC",2,"1: (GATA3 | MYC | FOS) & !STAT3",0.0559,0.4534,0.3855,0.7725,0.254,0.4425,0.2913,0.422
"GATA3",2,"1: GATA3 & !STAT3",0.0448,0.4421,0.363,0.8174,0.2538,0.4617,0.2775,0.4359
"16_2_17",2,"1: (GATA3 | MYC | FOS) & (TP53 | FOXO3) & !STAT3",0.0381,0.4452,0.3947,0.8057,0.2613,0.4886,0.3384,0.4533
"MYC",2,"1: MYC & !STAT3",0.0026,0.4381,0.3792,0.8917,0.2469,0.4843,0.3786,0.4346
"23_2_17",2,"1: (GATA3 & MYC) & (TP53 | FOXO3) & !STAT3",6e-04,0.4563,0.4368,0.8755,0.2435,0.4659,0.3562,0.437
"GATA3_MYC_TP53_FOXO3",3,"1: (GATA3 | MYC) & (TP53 | FOXO3) & !STAT3",0.0649,0.6063,0.2455,0.4377,0.3226,0.4573,0.1975,0.4273
"GATA3_TP53_FOXO3",3,"1: GATA3 & (TP53 | FOXO3) & !STAT3",0.0336,0.6356,0.2462,0.4513,0.3055,0.4487,0.2183,0.4237
"MYC_TP53_FOXO3",3,"1: MYC & (TP53 | FOXO3) & !STAT3",0.0257,0.611,0.3701,0.4606,0.3227,0.4673,0.2261,0.4376
"published",4,"1: (GATA3 | FOS | MYC | TP53 | FOXO3 | SP1) & !STAT3",0.9867,0.7123,0,0.0133,0.4993,9e-04,0,0.4821
