"node","no miRNA","miR-34c-5p","miR-155-5p","both"
"APC-Antigen",1,1,1,1
"TCR",0.5563,0.6322,0.6008,0.5162
"CD45RA",1,1,1,1
"CD45RO",1,1,1,1
"CD28",1,1,1,1
"LCK",0.5359,0.6105,0.5581,0.5019
"ZAP70",0.5201,0.57,0.5271,0.5038
"CD3",1,1,1,1
"PI3K",0.5838,0.6402,0.5974,0.57
"PIP3",0.5736,0.6114,0.569,0.5744
"AKT1",0.5574,0.569,0.5525,0.5738
"CDKN1A-p21",0.4562,0.4612,0.4686,0.4246
"RAC1",0.6021,0.6398,0,0
"MAPK14-p38",0.6004,0.5892,0,0
"SRF",0.6042,0.56,0,0
"JUN",0.5914,0.5304,0,0
"FOS",0,0,0,0
"FOXO1",0,0,0,0
"IP3",0.6032,0.6488,0.5993,0.5989
"DAG",0.6109,0.63,0.5892,0.6036
"Calcineurin",0.5934,0.6116,0.5728,0.5979
"NFATC1",0.594,0.5688,0.5521,0.592
"BCMcomplex",1,1,0,0
"NFKB1",0.7991,0.766,0.5002,0.5
"NFKBIE-IkB",0.4052,0.4428,0.9997,1
"IKBKG",0.6043,0.5871,0,0
"MAPK8-JNK",0.6006,0.5542,0,0
"MAPK1-ERK",0,0,0,0
"GSK3B",0.4533,0.4708,0.4696,0.419
"CTNNB1",0.5434,0.5171,0.5228,0.5888
"CCNI",0.5468,0.5,0.5208,0.592
"RAS",0,0,0,0
"CREB",0,0,0,0
"IL2",0.5447,0.4792,0.4824,0.5792
"IL6",0.185,0.0027,0.5144,0.0051
"TGFB",0.1864,0.3947,0.0558,0.4924
"IL12",0,0,0,0
"IL21",0.3418,0.005,0.9608,0.01
"IL17",0.0334,8e-04,0.1418,3e-04
"TNF",1,1,1,1
"IL23",0,0,0,0
"IL4",0,0,0,0
"EP300",0,0,0,0
"IL10",0.26,0.3312,0.5244,0.426
"IFNG",0.3271,0.2046,0.0114,0.1856
"FOXO3",0,0,0,0
"TP53",0,0,0.9999,0.9998
"MDM2",1,1,0,0
"SP1",1,1,1,1
"MYC",0.0366,0,0.0153,0
"FOXP1",1,1,1,1
"CREBBP",1,1,1,1
"KAT2B",1,1,1,1
"STAT1",0.349,0,0,0
"STAT4",0,0,0,0
"STAT5",0.3391,0.3069,0.317,0.3683
"STAT6",0,0,0,0
"STAT3",0.4109,0.005,0.9768,0.01
"IL2R",0.3286,0.295,0.303,0.3488
"IL6R",0.179,0.0027,0.5098,0.0053
"TGFBR",0.1897,0.4017,0.081,0.4885
"CGC",1,1,1,1
"IL21R",0.3416,0.005,0.9608,0.01
"TNFR",1,1,1,1
"IL23R",0.33,0.005,0.9616,0.01
"IL4R",0,0,0,0
"IL10R",0.2464,0.338,0.5298,0.4286
"IFNGR",0.3421,0.196,0,0
"IL22",0.1577,0.0011,0,0
"IL9",0.1874,0.4485,0.1512,0.4675
"TBX21",0.7063,0.711,0.7012,0.7121
"GATA3",0,0,0,0
"RORC",0.3594,0.005,0.9685,0.01
"FOXP3",0.201,0.3983,0.039,0.5028
"BCL6",0.1786,0.0017,0.1458,6e-04
"SPI1-PU1",0.1878,0.4236,0.114,0.4782
"MAF",0.1586,0.001,0,0
"AHR",0.1564,0.0018,0,0
"IL12R",0,0,0,0
"IL1",0,0,0,0
"IL1R",0.3764,0.005,0.9726,0.01
"PRDM1-BLIMP1",0.3806,0.005,0.9709,0.01
"SIRT1",1,1,0,0
"miR-34c-5p",0,0.995,0,0.99
"miR-155-5p",0,0,1,1
"miR-181a-5p",1,1,1,1
"miR-21-5p",1,1,1,1
"miR-146b-5p",1,1,1,1
"let-7a-5p",1,1,1,1
"miR-101-3p",1,1,1,1
"MAP4K1-MEKKK",0.6036,0.5933,0,0
