"node","change"
"BCMcomplex",-1
"MDM2",-1
"SIRT1",-1
"miR-155-5p",1
"TP53",0.9998
"miR-34c-5p",0.99
"IKBKG",-0.6043
"SRF",-0.6042
"MAP4K1-MEKKK",-0.6036
"RAC1",-0.6021
"MAPK8-JNK",-0.6006
"MAPK14-p38",-0.6004
"NFKBIE-IkB",0.5948
"JUN",-0.5914
"STAT3",-0.4009
"PRDM1-BLIMP1",-0.3706
"IL1R",-0.3664
"RORC",-0.3494
"STAT1",-0.349
"IFNGR",-0.3421
"IL21",-0.3318
"IL21R",-0.3316
"IL23R",-0.32
"TGFB",0.3059
"FOXP3",0.3018
"NFKB1",-0.2991
"TGFBR",0.2988
"SPI1-PU1",0.2904
"IL9",0.2801
"IL10R",0.1822
"IL6",-0.1799
"BCL6",-0.1779
"IL6R",-0.1736
"IL10",0.166
"MAF",-0.1586
"IL22",-0.1577
"AHR",-0.1564
"IFNG",-0.1416
"CTNNB1",0.0454
"CCNI",0.0452
"TCR",-0.0402
"MYC",-0.0366
"IL2",0.0345
"GSK3B",-0.0343
"LCK",-0.034
"IL17",-0.0331
"CDKN1A-p21",-0.0316
"STAT5",0.0292
"IL2R",0.0202
"AKT1",0.0164
"ZAP70",-0.0163
"PI3K",-0.0138
