"network","condition","TBX21","GATA3","RORC","FOXP3","expected","verdict"
"base (no miRNA)","TCR + IL2",0,0,0,0,NA,"baseline"
"base (no miRNA)","+ IL12 (Th1)",1,0,0,0,"TBX21","pass"
"base (no miRNA)","+ IL4 (Th2)",0,1,0,0,"GATA3","pass"
"base (no miRNA)","+ TGFB + IL6 (Th17)",0,0,1,0.33,"RORC","pass"
"base (no miRNA)","+ TGFB (iTreg)",0,0,0,1,"FOXP3","pass"
"+ miR-34c-5p","TCR + IL2",0,0,0,0,NA,"baseline"
"+ miR-34c-5p","+ IL12 (Th1)",1,0,0,0,"TBX21","pass"
"+ miR-34c-5p","+ IL4 (Th2)",0,1,0,0,"GATA3","pass"
"+ miR-34c-5p","+ TGFB + IL6 (Th17)",0,0,1,0.33,"RORC","pass"
"+ miR-34c-5p","+ TGFB (iTreg)",0,0,0,1,"FOXP3","pass"
"+ miR-155-5p","TCR + IL2",0,0,0,0,NA,"baseline"
"+ miR-155-5p","+ IL12 (Th1)",0,0,0,0,"TBX21","fail"
"+ miR-155-5p","+ IL4 (Th2)",0,1,0,0,"GATA3","pass"
"+ miR-155-5p","+ TGFB + IL6 (Th17)",0,0,0.49,0.115,"RORC","pass"
"+ miR-155-5p","+ TGFB (iTreg)",0,0,0,0.26,"FOXP3","pass"
"+ both","TCR + IL2",0,0,0,0,NA,"baseline"
"+ both","+ IL12 (Th1)",0,0,0,0,"TBX21","fail"
"+ both","+ IL4 (Th2)",0,0.955,0,0,"GATA3","pass"
"+ both","+ TGFB + IL6 (Th17)",0,0,0.49,0.115,"RORC","pass"
"+ both","+ TGFB (iTreg)",0,0,0,0.26,"FOXP3","pass"
