"node","max_level","IL2","Th1","Th2","Th17","iTreg"
"APC-Antigen",1,1,1,1,1,1
"TCR",1,0.5162,0.5354,0.5518,0.5722,0.5162
"CD45RA",1,1,1,1,1,1
"CD45RO",1,1,1,1,1,1
"CD28",1,1,1,1,1,1
"LCK",2,0.5019,0.5334,0.5399,0.5292,0.5019
"ZAP70",2,0.5038,0.5256,0.5293,0.5038,0.5038
"CD3",1,1,1,1,1,1
"PI3K",1,0.57,0.6015,0.6086,0.5738,0.57
"PIP3",1,0.5744,0.5998,0.5948,0.5574,0.5744
"AKT1",1,0.5738,0.5922,0.585,0.5516,0.5738
"CDKN1A-p21",1,0.4246,0.4228,0.4224,0.4539,0.4246
"RAC1",1,0,0,0,0,0
"MAPK14-p38",1,0,0,3e-04,0,0
"SRF",1,0,0,5e-04,0,0
"JUN",1,0,0,0,0,0
"FOS",1,0,0,0,0,0
"FOXO1",1,0,0,0,0,0
"IP3",1,0.5989,0.6138,0.6118,0.5851,0.5989
"DAG",1,0.6036,0.6211,0.6155,0.5872,0.6036
"Calcineurin",1,0.5979,0.6052,0.5868,0.5694,0.5979
"NFATC1",1,0.592,0.5868,0.5648,0.5566,0.592
"BCMcomplex",1,0,0,0,0,0
"NFKB1",2,0.5,0.5,0.5,0.5,0.5
"NFKBIE-IkB",1,1,1,1,1,1
"IKBKG",1,0,0,0,0,0
"MAPK8-JNK",1,0,4e-04,0,0,0
"MAPK1-ERK",1,0,0,0,0,0
"GSK3B",1,0.419,0.4232,0.4238,0.4462,0.419
"CTNNB1",1,0.5888,0.5696,0.5616,0.5532,0.5888
"CCNI",1,0.592,0.5664,0.5616,0.555,0.592
"RAS",1,0,0,0,0,0
"CREB",1,0,0,0,0,0
"IL2",2,0.5792,0.564,0.5336,0.5139,0.5792
"IL6",1,0.0051,0,0.0353,0.4768,0.0051
"TGFB",1,0.4924,0.4665,0.4445,0.0855,0.4924
"IL12",1,0,1,1,0,0
"IL21",1,0.01,0,0.075,0.8588,0.01
"IL17",1,3e-04,0,3e-04,0.1203,3e-04
"TNF",1,1,1,1,1,1
"IL23",1,0,0,0,1,1
"IL4",1,0,0,0.325,0,0
"EP300",1,0,0,0,0,0
"IL10",1,0.426,0.4009,0.4124,0.5306,0.426
"IFNG",1,0.1856,0.186,0.1406,0.0266,0.1856
"FOXO3",1,0,0,0,0,0
"TP53",2,0.9998,1,0.9999,1,0.9998
"MDM2",2,0,0,0,0,0
"SP1",1,1,1,1,1,1
"MYC",1,0,0,0,0,0
"FOXP1",1,1,1,1,1,1
"CREBBP",1,1,1,1,1,1
"KAT2B",1,1,1,1,1,1
"STAT1",1,0,0,0,0,0
"STAT4",1,0,1,1,0,0
"STAT5",2,0.3683,0.3651,0.5638,0.3337,0.3683
"STAT6",1,0,0,0.325,0,0
"STAT3",1,0.01,0,0.075,0.865,0.01
"IL2R",2,0.3488,0.3455,0.4156,0.3178,0.3488
"IL6R",1,0.0053,0,0.036,0.4898,0.0053
"TGFBR",1,0.4885,0.4592,0.4454,0.09,0.4885
"CGC",1,1,1,1,1,1
"IL21R",1,0.01,0,0.075,0.8588,0.01
"TNFR",1,1,1,1,1,1
"IL23R",1,0.01,0,0.075,0.8596,0.01
"IL4R",2,0,0,0.325,0,0
"IL10R",1,0.4286,0.3976,0.4081,0.5328,0.4286
"IFNGR",1,0,0,0,0,0
"IL22",1,0,0,0,0,0
"IL9",1,0.4675,0.4436,0.4532,0.1077,0.4675
"TBX21",2,0.7121,0.713,0.7112,0.6972,0.7121
"GATA3",1,0,0,0,0,0
"RORC",1,0.01,0,0.075,0.861,0.01
"FOXP3",1,0.5028,0.483,0.4562,0.0805,0.5028
"BCL6",1,6e-04,0,0.0751,0.0387,6e-04
"SPI1-PU1",1,0.4782,0.4484,0.444,0.0977,0.4782
"MAF",1,0,0,0,0,0
"AHR",1,0,0,0,0,0
"IL12R",1,0,1,1,0,0
"IL1",1,0,0,0,1,0
"IL1R",1,0.01,0,0.075,0.865,0.01
"PRDM1-BLIMP1",1,0.01,0,0.075,0.865,0.01
"SIRT1",1,0,0,0,0,0
"miR-34c-5p",1,0.99,1,0.925,0.135,0.99
"miR-155-5p",1,1,1,1,1,1
"miR-181a-5p",1,1,1,1,1,1
"miR-21-5p",1,1,1,1,1,1
"miR-146b-5p",1,1,1,1,1,1
"let-7a-5p",1,1,1,1,1,1
"miR-101-3p",1,1,1,1,1,1
"MAP4K1-MEKKK",1,0,2e-04,0,0,0
