"condition","node","step","level"
"IL2","APC-Antigen",0,1
"IL2","APC-Antigen",1,1
"IL2","APC-Antigen",2,1
"IL2","APC-Antigen",3,1
"IL2","APC-Antigen",4,1
"IL2","APC-Antigen",5,1
"IL2","APC-Antigen",6,1
"IL2","APC-Antigen",7,1
"IL2","APC-Antigen",8,1
"IL2","APC-Antigen",9,1
"IL2","APC-Antigen",10,1
"IL2","APC-Antigen",11,1
"IL2","APC-Antigen",12,1
"IL2","APC-Antigen",13,1
"IL2","APC-Antigen",14,1
"IL2","APC-Antigen",15,1
"IL2","APC-Antigen",16,1
"IL2","APC-Antigen",17,1
"IL2","APC-Antigen",18,1
"IL2","APC-Antigen",19,1
"IL2","APC-Antigen",20,1
"IL2","APC-Antigen",21,1
"IL2","APC-Antigen",22,1
"IL2","APC-Antigen",23,1
"IL2","APC-Antigen",24,1
"IL2","APC-Antigen",25,1
"IL2","APC-Antigen",26,1
"IL2","APC-Antigen",27,1
"IL2","APC-Antigen",28,1
"IL2","APC-Antigen",29,1
"IL2","APC-Antigen",30,1
"IL2","APC-Antigen",31,1
"IL2","APC-Antigen",32,1
"IL2","APC-Antigen",33,1
"IL2","APC-Antigen",34,1
"IL2","APC-Antigen",35,1
"IL2","APC-Antigen",36,1
"IL2","APC-Antigen",37,1
"IL2","APC-Antigen",38,1
"IL2","APC-Antigen",39,1
"IL2","APC-Antigen",40,1
"IL2","APC-Antigen",41,1
"IL2","APC-Antigen",42,1
"IL2","APC-Antigen",43,1
"IL2","APC-Antigen",44,1
"IL2","APC-Antigen",45,1
"IL2","APC-Antigen",46,1
"IL2","APC-Antigen",47,1
"IL2","APC-Antigen",48,1
"IL2","APC-Antigen",49,1
"IL2","APC-Antigen",50,1
"IL2","APC-Antigen",51,1
"IL2","APC-Antigen",52,1
"IL2","APC-Antigen",53,1
"IL2","APC-Antigen",54,1
"IL2","APC-Antigen",55,1
"IL2","APC-Antigen",56,1
"IL2","APC-Antigen",57,1
"IL2","APC-Antigen",58,1
"IL2","APC-Antigen",59,1
"IL2","APC-Antigen",60,1
"IL2","APC-Antigen",61,1
"IL2","APC-Antigen",62,1
"IL2","APC-Antigen",63,1
"IL2","APC-Antigen",64,1
"IL2","APC-Antigen",65,1
"IL2","APC-Antigen",66,1
"IL2","APC-Antigen",67,1
"IL2","APC-Antigen",68,1
"IL2","APC-Antigen",69,1
"IL2","APC-Antigen",70,1
"IL2","APC-Antigen",71,1
"IL2","APC-Antigen",72,1
"IL2","APC-Antigen",73,1
"IL2","APC-Antigen",74,1
"IL2","APC-Antigen",75,1
"IL2","APC-Antigen",76,1
"IL2","APC-Antigen",77,1
"IL2","APC-Antigen",78,1
"IL2","APC-Antigen",79,1
"IL2","APC-Antigen",80,1
"IL2","APC-Antigen",81,1
"IL2","APC-Antigen",82,1
"IL2","APC-Antigen",83,1
"IL2","APC-Antigen",84,1
"IL2","APC-Antigen",85,1
"IL2","APC-Antigen",86,1
"IL2","APC-Antigen",87,1
"IL2","APC-Antigen",88,1
"IL2","APC-Antigen",89,1
"IL2","APC-Antigen",90,1
"IL2","APC-Antigen",91,1
"IL2","APC-Antigen",92,1
"IL2","APC-Antigen",93,1
"IL2","APC-Antigen",94,1
"IL2","APC-Antigen",95,1
"IL2","APC-Antigen",96,1
"IL2","APC-Antigen",97,1
"IL2","APC-Antigen",98,1
"IL2","APC-Antigen",99,1
"IL2","APC-Antigen",100,1
"IL2","APC-Antigen",101,1
"IL2","APC-Antigen",102,1
"IL2","APC-Antigen",103,1
"IL2","APC-Antigen",104,1
"IL2","APC-Antigen",105,1
"IL2","APC-Antigen",106,1
"IL2","APC-Antigen",107,1
"IL2","APC-Antigen",108,1
"IL2","APC-Antigen",109,1
"IL2","APC-Antigen",110,1
"IL2","APC-Antigen",111,1
"IL2","APC-Antigen",112,1
"IL2","APC-Antigen",113,1
"IL2","APC-Antigen",114,1
"IL2","APC-Antigen",115,1
"IL2","APC-Antigen",116,1
"IL2","APC-Antigen",117,1
"IL2","APC-Antigen",118,1
"IL2","APC-Antigen",119,1
"IL2","APC-Antigen",120,1
"IL2","APC-Antigen",121,1
"IL2","APC-Antigen",122,1
"IL2","APC-Antigen",123,1
"IL2","APC-Antigen",124,1
"IL2","APC-Antigen",125,1
"IL2","APC-Antigen",126,1
"IL2","APC-Antigen",127,1
"IL2","APC-Antigen",128,1
"IL2","APC-Antigen",129,1
"IL2","APC-Antigen",130,1
"IL2","APC-Antigen",131,1
"IL2","APC-Antigen",132,1
"IL2","APC-Antigen",133,1
"IL2","APC-Antigen",134,1
"IL2","APC-Antigen",135,1
"IL2","APC-Antigen",136,1
"IL2","APC-Antigen",137,1
"IL2","APC-Antigen",138,1
"IL2","APC-Antigen",139,1
"IL2","APC-Antigen",140,1
"IL2","APC-Antigen",141,1
"IL2","APC-Antigen",142,1
"IL2","APC-Antigen",143,1
"IL2","APC-Antigen",144,1
"IL2","APC-Antigen",145,1
"IL2","APC-Antigen",146,1
"IL2","APC-Antigen",147,1
"IL2","APC-Antigen",148,1
"IL2","APC-Antigen",149,1
"IL2","APC-Antigen",150,1
"IL2","APC-Antigen",151,1
"IL2","APC-Antigen",152,1
"IL2","APC-Antigen",153,1
"IL2","APC-Antigen",154,1
"IL2","APC-Antigen",155,1
"IL2","APC-Antigen",156,1
"IL2","APC-Antigen",157,1
"IL2","APC-Antigen",158,1
