"table","subset","node","no miRNA","miR-34c-5p","miR-155-5p","both","effect_of_both"
"2017 working table","Th1","TBX21",0.6999,0.713,0.7015,0.7163,0.0163
"2017 working table","Th2","GATA3",0,0,0,0,0
"2017 working table","Th17","RORC",0.3481,0.01,0.9649,0.015,-0.333
"2017 working table","iTreg","FOXP3",0.2169,0.369,0.0432,0.4891,0.2722
"2017 working table","Tfh","BCL6",0.202,0.0024,0.1577,0.0024,-0.1997
"2017 working table","Th22","AHR",0.1603,0.0019,0,0,-0.1603
"2017 working table","Th9","SPI1-PU1",0.2087,0.4048,0.1184,0.4651,0.2564
"thesis Table 5","Th1","TBX21",0.2162,0.2487,0.2409,0.2515,0.0354
"thesis Table 5","Th2","GATA3",0.5588,0.5114,0.3387,0.3314,-0.2274
"thesis Table 5","Th17","RORC",0.2708,0.2261,0.2022,0.1684,-0.1024
"thesis Table 5","iTreg","FOXP3",0.3543,0.3005,0.4944,0.475,0.1206
"thesis Table 5","Tfh","BCL6",0.4026,0.3449,0.1474,0.1692,-0.2335
"thesis Table 5","Th22","AHR",0.478,0.3844,0.2748,0.2341,-0.2439
"thesis Table 5","Th9","SPI1-PU1",0.3491,0.2954,0.11,0.124,-0.2252
