"node","value","working_table","table5","verdict"
"AHR",1,"(MAF&!miR-34c-5p)","(SP1&NFKB|(MYC&GATA3)|(FOS&JUN)&!miR-34c-5p)","differs"
"FOXP3",1,"(STAT5&NFAT&!FOXP3&!STAT1&!(STAT3&RORC))|(STAT5&NFAT&FOXP3)","(STAT5&NFAT&!FOXP3&!STAT1&!(STAT3&RORC)&!miR-34c-5p)|(STAT5&NFAT&FOXP3&!miR-34c-5p)","differs"
"GATA3",1,"((GATA3|STAT6)&!TBX21&!miR-34c-5p)","((GATA3|STAT6|STAT5)&NFKB)","differs"
"IKBKG",1,"(DAG&BCMcomplex)","(DAG&BCMcomplex&!miR-34c-5p)","differs"
"IL10",1,"((GATA3|STAT3|FOXP3)&NFAT)","(SP1&MAF&(GATA3|STAT3|TGFB|STAT1))","differs"
"IL10R",1,"(IL10)","(IL10&!miR-34c-5p)","differs"
"IL2",1,"(NFAT&NFKB)","((NFAT&NFKB)|(JUN&FOS)|NFAT|NFKB)","differs"
"IL2",2,"(NFAT&NFKB&STAT5)","((NFAT&NFKB)|(JUN&FOS)&STAT5&!(STAT5&STAT6)&!(NFKB&TBX21))","differs"
"IL21",1,"(RORC|MAF)","((RORC|MAF)&!TGFB)","differs"
"IL21R",1,"(MAF|RORC)","(CGC&(MAF|STAT3)&!(MAF&TGFB))","differs"
"IL22",1,"(RORC&AHR)","(RORC&TBX21&AHR&!MAF)","differs"
"IL23R",1,"(RORC&STAT3)","((RORC&STAT3)|IL23)","differs"
"IL4",1,"(STAT6|GATA3)","(NFAT&(STAT5|MAF|GATA3)&!TBX21)","differs"
"IL6R",1,"(IL6)","(IL6&!miR-34c-5p)","differs"
"JUN",1,"(MAPK8-JNK&KAT2B&!miR-155-5p)","(MAPK8-JNK&!miR-155-5p)","differs"
"MAF",1,"(TGFBR&STAT3&!miR-155-5p)","(STAT5|STAT3&!(TGFB&miR-155-5p))","differs"
"MAP4K1-MEKKK",1,"(RAC1)","(ZAP70)","differs"
"MAPK1-ERK",1,"(RAS)","(RAS&!miR-34c-5p)","differs"
"MDM2",1,"(!miR-155-5p)","(NFAT&AKT1-PKB)","differs"
"MDM2",2,"((NFAT|SP1|TP53)&!miR-155-5p)","((NFAT|SP1)&AKT1-PKB&TP53&!miR-155-5p)","differs"
"miR-155-5p",1,"(NFKB|NFAT|FOXP3|STAT3)","(NFKB&NFAT)|(NFKB&NFAT&(TBX21|GATA3|RORC|FOXP3))","differs"
"miR-34c-5p",1,"((GATA3|FOS|MYC|TP53|FOXO3|SP1)&!STAT3)","(GATA3&MYC)","differs"
"MYC",1,"((STAT4|STAT3|BCL6)&!FOS&!miR-34c-5p&!PRDM1-BLIMP1)","((STAT4|STAT3)&!miR-34c-5p&!PRDM1-BLIMP1)","differs"
"NFKB",1,"(TNFR)","(!NFKBIE-IkB)","differs"
"PI3K",1,"(LCK:2|LCK:1)","(LCK&CD28)","differs"
"PRDM1-BLIMP1",1,"((JUN&FOS&CREBBP&!BCL6)|STAT3)","((JUN&FOS&CREBBP&!BCL6)|(STAT3&!BCL6))","differs"
"RAS",1,"(MAPK1-ERK)","(ZAP70)","differs"
"RORC",1,"(!RORC&TGFBR&STAT3)|(RORC&(TGFBR|STAT3))","(TGFBR&STAT3)","differs"
"SIRT1",1,"(NFKB&!miR-155-5p)","(FOXO3|(FOXO3&CREB)&!TP53&!miR-155-5p)","differs"
"SP1",1,"(NFKB)","((STAT3|CDKN1A-p21)&!TP53&!NFKB)","differs"
"SPI1-PU1",1,"(TGFBR)","(GATA3&TGFBR&!miR-155-5p)","differs"
"STAT3",1,"((IL6R|IL10R|IL21R|IL23R|IL1)&!miR-34c-5p)","((TGFBR|IL6R|IL23R|IL1R)&!SIRT1&!miR-155-5p&!miR-34c-5p)","differs"
"TBX21",1,"((TBX21|STAT1)&!GATA3)","((STAT1|STAT4))","differs"
"TBX21",2,"(ZAP70:2)","((TBX21&STAT1)|(TBX21&STAT4))","differs"
"TGFB",1,"(FOXP3)","(FOXP3&NFAT)","differs"
"TGFBR",1,"(TGFB)","(TGFB&!miR-34c-5p)","differs"
"TNF",1,"(TBX21)","(TBX21|JUN)","differs"
"ZAP70",2,"(LCK:2)","(LCK&!miR-34c-5p)","differs"
"IL2R",2,"(IL2&CGC&STAT5:2)",NA,"only in a"
"LCK",2,"(TCR&CD45RO)",NA,"only in a"
"CD28",1,NA,"(!IL2:2&!miR-34c-5p)","only in b"
"GATA3",2,NA,"((GATA3|STAT6|STAT5)&NFKB&!miR-34c-5p)","only in b"
"IL12",1,NA,"(NFKB|TBX21)","only in b"
"IL23",1,NA,"((JUN&FOS)&MAPK14-p38&NFKB&STAT3)","only in b"
"miR-34c-5p",2,NA,"(GATA3&MYC&(TP53|FOXO3|SP1))","only in b"
"IL2R",1,"(IL2&CGC)","(IL2&CGC)|(IL2&CGC&STAT5:2)","equivalent"
"IL4R",1,"(CGC&IL4)|(IL4)","(IL4|(CGC&IL4))","equivalent"
"ZAP70",1,"(LCK:1)","(LCK)","equivalent"
"AKT1-PKB",1,"(PIP3)","(PIP3)","identical"
"BCL6",1,"((STAT3&STAT4)|SPI1-PU1&!(TBX21&miR-34c-5p))","((STAT3&STAT4)|SPI1-PU1&!(TBX21&miR-34c-5p))","identical"
"BCMcomplex",1,"(!miR-155-5p)","(!miR-155-5p)","identical"
"Calcineurin",1,"(IP3)","(IP3)","identical"
"CCNI",1,"(!GSK3B)","(!GSK3B)","identical"
"CDKN1A-p21",1,"(!AKT1-PKB)","(!AKT1-PKB)","identical"
"CREB",1,"(RAS&MAPK1-ERK)","(RAS&MAPK1-ERK)","identical"
"CTNNB1",1,"(!GSK3B)","(!GSK3B)","identical"
"DAG",1,"(ZAP70)","(ZAP70)","identical"
"FOS",1,"(MAPK1-ERK&!miR-34c-5p&!miR-155-5p)","(MAPK1-ERK&!miR-34c-5p&!miR-155-5p)","identical"
"FOXO1",1,"(TP53&!AKT1-PKB&!miR-155-5p)","(TP53&!AKT1-PKB&!miR-155-5p)","identical"
"FOXO3",1,"((FOXO3|TP53)&!miR-155-5p&!SIRT1)","((FOXO3|TP53)&!miR-155-5p&!SIRT1)","identical"
"GSK3B",1,"(!AKT1-PKB)","(!AKT1-PKB)","identical"
"IFNG",1,"(!FOXP3&!STAT3&NFAT&(TBX21|STAT4))","(!FOXP3&!STAT3&NFAT&(TBX21|STAT4))","identical"
"IFNGR",1,"(IFNG&!miR-155-5p)","(IFNG&!miR-155-5p)","identical"
"IL12R",1,"(IL12)","(IL12)","identical"
"IL17",1,"(NFAT&RORC&!FOXP3&NFKB&STAT3&!(STAT5|STAT1|STAT6))","(NFAT&RORC&!FOXP3&NFKB&STAT3&!(STAT5|STAT1|STAT6))","identical"
"IL1R",1,"(STAT3)","(STAT3)","identical"
"IL4R",2,"(CGC&IL4&STAT5)","(CGC&IL4&STAT5)","identical"
"IL6",1,"(NFAT&STAT3)","(NFAT&STAT3)","identical"
"IL9",1,"(SPI1-PU1)","(SPI1-PU1)","identical"
"IP3",1,"(ZAP70)","(ZAP70)","identical"
"LCK",1,"(TCR&CD45RA)","(TCR&CD45RA)","identical"
"MAPK14-p38",1,"(RAC1)","(RAC1)","identical"
"MAPK8-JNK",1,"(MAP4K1-MEKKK)","(MAP4K1-MEKKK)","identical"
"NFAT",1,"(Calcineurin)","(Calcineurin)","identical"
